id,SKU_ID,Base_ID,Title,Price,Description,Stock,Release_Year,Storage,Screen_Size,Color
19,19,1,"XenoPhone Fusion - 64GB, 6.5"", Blue",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Blue
20,20,1,"XenoPhone Fusion - 64GB, 6.5"", Red",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Red
21,21,1,"XenoPhone Fusion - 64GB, 6.5"", Green",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Green
22,22,1,"XenoPhone Fusion - 64GB, 6.5"", Silver",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Silver
23,23,1,"XenoPhone Fusion - 64GB, 6.5"", Gold",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Gold
24,24,1,"XenoPhone Fusion - 64GB, 6.5"", Purple",849.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.5""",Purple
25,25,1,"XenoPhone Fusion - 64GB, 6.7"", Black",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Black
26,26,1,"XenoPhone Fusion - 64GB, 6.7"", White",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",White
27,27,1,"XenoPhone Fusion - 64GB, 6.7"", Blue",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Blue
28,28,1,"XenoPhone Fusion - 64GB, 6.7"", Red",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Red
29,29,1,"XenoPhone Fusion - 64GB, 6.7"", Green",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Green
30,30,1,"XenoPhone Fusion - 64GB, 6.7"", Silver",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Silver
31,31,1,"XenoPhone Fusion - 64GB, 6.7"", Gold",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Gold
32,32,1,"XenoPhone Fusion - 64GB, 6.7"", Purple",879.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"6.7""",Purple
33,33,1,"XenoPhone Fusion - 64GB, 7.1"", Black",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Black
34,34,1,"XenoPhone Fusion - 64GB, 7.1"", White",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",White
35,35,1,"XenoPhone Fusion - 64GB, 7.1"", Blue",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Blue
36,36,1,"XenoPhone Fusion - 64GB, 7.1"", Red",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Red
37,37,1,"XenoPhone Fusion - 64GB, 7.1"", Green",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Green
38,38,1,"XenoPhone Fusion - 64GB, 7.1"", Silver",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Silver
39,39,1,"XenoPhone Fusion - 64GB, 7.1"", Gold",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Gold
40,40,1,"XenoPhone Fusion - 64GB, 7.1"", Purple",909.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,64GB,"7.1""",Purple
41,41,1,"XenoPhone Fusion - 128GB, 5.8"", Black",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Black
42,42,1,"XenoPhone Fusion - 128GB, 5.8"", White",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",White
43,43,1,"XenoPhone Fusion - 128GB, 5.8"", Blue",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Blue
44,44,1,"XenoPhone Fusion - 128GB, 5.8"", Red",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Red
45,45,1,"XenoPhone Fusion - 128GB, 5.8"", Green",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Green
46,46,1,"XenoPhone Fusion - 128GB, 5.8"", Silver",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Silver
47,47,1,"XenoPhone Fusion - 128GB, 5.8"", Gold",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Gold
48,48,1,"XenoPhone Fusion - 128GB, 5.8"", Purple",839.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"5.8""",Purple
49,49,1,"XenoPhone Fusion - 128GB, 6.1"", Black",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Black
50,50,1,"XenoPhone Fusion - 128GB, 6.1"", White",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",White
51,51,1,"XenoPhone Fusion - 128GB, 6.1"", Blue",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Blue
52,52,1,"XenoPhone Fusion - 128GB, 6.1"", Red",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Red
53,53,1,"XenoPhone Fusion - 128GB, 6.1"", Green",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Green
54,54,1,"XenoPhone Fusion - 128GB, 6.1"", Silver",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Silver
55,55,1,"XenoPhone Fusion - 128GB, 6.1"", Gold",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Gold
56,56,1,"XenoPhone Fusion - 128GB, 6.1"", Purple",869.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.1""",Purple
57,57,1,"XenoPhone Fusion - 128GB, 6.5"", Black",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",Black
58,58,1,"XenoPhone Fusion - 128GB, 6.5"", White",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",White
59,59,1,"XenoPhone Fusion - 128GB, 6.5"", Blue",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",Blue
60,60,1,"XenoPhone Fusion - 128GB, 6.5"", Red",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",Red
61,61,1,"XenoPhone Fusion - 128GB, 6.5"", Green",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",Green
62,62,1,"XenoPhone Fusion - 128GB, 6.5"", Silver",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",Silver
63,63,1,"XenoPhone Fusion - 128GB, 6.5"", Gold",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",Gold
64,64,1,"XenoPhone Fusion - 128GB, 6.5"", Purple",899.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.5""",Purple
65,65,1,"XenoPhone Fusion - 128GB, 6.7"", Black",929.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.7""",Black
66,66,1,"XenoPhone Fusion - 128GB, 6.7"", White",929.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.7""",White
67,67,1,"XenoPhone Fusion - 128GB, 6.7"", Blue",929.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.7""",Blue
68,68,1,"XenoPhone Fusion - 128GB, 6.7"", Red",929.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.7""",Red
69,69,1,"XenoPhone Fusion - 128GB, 6.7"", Green",929.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.7""",Green
70,70,1,"XenoPhone Fusion - 128GB, 6.7"", Silver",929.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.7""",Silver
71,71,1,"XenoPhone Fusion - 128GB, 6.7"", Gold",929.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.7""",Gold
72,72,1,"XenoPhone Fusion - 128GB, 6.7"", Purple",929.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"6.7""",Purple
73,73,1,"XenoPhone Fusion - 128GB, 7.1"", Black",959.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"7.1""",Black
74,74,1,"XenoPhone Fusion - 128GB, 7.1"", White",959.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"7.1""",White
75,75,1,"XenoPhone Fusion - 128GB, 7.1"", Blue",959.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"7.1""",Blue
76,76,1,"XenoPhone Fusion - 128GB, 7.1"", Red",959.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"7.1""",Red
77,77,1,"XenoPhone Fusion - 128GB, 7.1"", Green",959.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"7.1""",Green
78,78,1,"XenoPhone Fusion - 128GB, 7.1"", Silver",959.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"7.1""",Silver
79,79,1,"XenoPhone Fusion - 128GB, 7.1"", Gold",959.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"7.1""",Gold
80,80,1,"XenoPhone Fusion - 128GB, 7.1"", Purple",959.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,128GB,"7.1""",Purple
81,81,1,"XenoPhone Fusion - 256GB, 5.8"", Black",889.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"5.8""",Black
82,82,1,"XenoPhone Fusion - 256GB, 5.8"", White",889.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"5.8""",White
83,83,1,"XenoPhone Fusion - 256GB, 5.8"", Blue",889.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"5.8""",Blue
84,84,1,"XenoPhone Fusion - 256GB, 5.8"", Red",889.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"5.8""",Red
85,85,1,"XenoPhone Fusion - 256GB, 5.8"", Green",889.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"5.8""",Green
86,86,1,"XenoPhone Fusion - 256GB, 5.8"", Silver",889.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"5.8""",Silver
87,87,1,"XenoPhone Fusion - 256GB, 5.8"", Gold",889.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"5.8""",Gold
88,88,1,"XenoPhone Fusion - 256GB, 5.8"", Purple",889.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"5.8""",Purple
89,89,1,"XenoPhone Fusion - 256GB, 6.1"", Black",919.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.1""",Black
90,90,1,"XenoPhone Fusion - 256GB, 6.1"", White",919.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.1""",White
91,91,1,"XenoPhone Fusion - 256GB, 6.1"", Blue",919.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.1""",Blue
92,92,1,"XenoPhone Fusion - 256GB, 6.1"", Red",919.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.1""",Red
93,93,1,"XenoPhone Fusion - 256GB, 6.1"", Green",919.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.1""",Green
94,94,1,"XenoPhone Fusion - 256GB, 6.1"", Silver",919.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.1""",Silver
95,95,1,"XenoPhone Fusion - 256GB, 6.1"", Gold",919.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.1""",Gold
96,96,1,"XenoPhone Fusion - 256GB, 6.1"", Purple",919.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.1""",Purple
97,97,1,"XenoPhone Fusion - 256GB, 6.5"", Black",949.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.5""",Black
98,98,1,"XenoPhone Fusion - 256GB, 6.5"", White",949.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.5""",White
99,99,1,"XenoPhone Fusion - 256GB, 6.5"", Blue",949.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.5""",Blue
100,100,1,"XenoPhone Fusion - 256GB, 6.5"", Red",949.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.5""",Red
101,101,1,"XenoPhone Fusion - 256GB, 6.5"", Green",949.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.5""",Green
102,102,1,"XenoPhone Fusion - 256GB, 6.5"", Silver",949.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.5""",Silver
103,103,1,"XenoPhone Fusion - 256GB, 6.5"", Gold",949.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.5""",Gold
104,104,1,"XenoPhone Fusion - 256GB, 6.5"", Purple",949.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.5""",Purple
105,105,1,"XenoPhone Fusion - 256GB, 6.7"", Black",979.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.7""",Black
106,106,1,"XenoPhone Fusion - 256GB, 6.7"", White",979.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.7""",White
107,107,1,"XenoPhone Fusion - 256GB, 6.7"", Blue",979.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.7""",Blue
108,108,1,"XenoPhone Fusion - 256GB, 6.7"", Red",979.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.7""",Red
109,109,1,"XenoPhone Fusion - 256GB, 6.7"", Green",979.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.7""",Green
110,110,1,"XenoPhone Fusion - 256GB, 6.7"", Silver",979.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.7""",Silver
111,111,1,"XenoPhone Fusion - 256GB, 6.7"", Gold",979.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.7""",Gold
112,112,1,"XenoPhone Fusion - 256GB, 6.7"", Purple",979.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"6.7""",Purple
113,113,1,"XenoPhone Fusion - 256GB, 7.1"", Black",1009.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"7.1""",Black
114,114,1,"XenoPhone Fusion - 256GB, 7.1"", White",1009.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"7.1""",White
115,115,1,"XenoPhone Fusion - 256GB, 7.1"", Blue",1009.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"7.1""",Blue
116,116,1,"XenoPhone Fusion - 256GB, 7.1"", Red",1009.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"7.1""",Red
117,117,1,"XenoPhone Fusion - 256GB, 7.1"", Green",1009.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"7.1""",Green
118,118,1,"XenoPhone Fusion - 256GB, 7.1"", Silver",1009.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"7.1""",Silver
119,119,1,"XenoPhone Fusion - 256GB, 7.1"", Gold",1009.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"7.1""",Gold
120,120,1,"XenoPhone Fusion - 256GB, 7.1"", Purple",1009.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,256GB,"7.1""",Purple
121,121,1,"XenoPhone Fusion - 512GB, 5.8"", Black",939.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"5.8""",Black
122,122,1,"XenoPhone Fusion - 512GB, 5.8"", White",939.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"5.8""",White
123,123,1,"XenoPhone Fusion - 512GB, 5.8"", Blue",939.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"5.8""",Blue
124,124,1,"XenoPhone Fusion - 512GB, 5.8"", Red",939.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"5.8""",Red
125,125,1,"XenoPhone Fusion - 512GB, 5.8"", Green",939.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"5.8""",Green
126,126,1,"XenoPhone Fusion - 512GB, 5.8"", Silver",939.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"5.8""",Silver
127,127,1,"XenoPhone Fusion - 512GB, 5.8"", Gold",939.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"5.8""",Gold
128,128,1,"XenoPhone Fusion - 512GB, 5.8"", Purple",939.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"5.8""",Purple
129,129,1,"XenoPhone Fusion - 512GB, 6.1"", Black",969.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.1""",Black
130,130,1,"XenoPhone Fusion - 512GB, 6.1"", White",969.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.1""",White
131,131,1,"XenoPhone Fusion - 512GB, 6.1"", Blue",969.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.1""",Blue
132,132,1,"XenoPhone Fusion - 512GB, 6.1"", Red",969.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.1""",Red
133,133,1,"XenoPhone Fusion - 512GB, 6.1"", Green",969.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.1""",Green
134,134,1,"XenoPhone Fusion - 512GB, 6.1"", Silver",969.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.1""",Silver
135,135,1,"XenoPhone Fusion - 512GB, 6.1"", Gold",969.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.1""",Gold
136,136,1,"XenoPhone Fusion - 512GB, 6.1"", Purple",969.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.1""",Purple
137,137,1,"XenoPhone Fusion - 512GB, 6.5"", Black",999.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.5""",Black
138,138,1,"XenoPhone Fusion - 512GB, 6.5"", White",999.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.5""",White
139,139,1,"XenoPhone Fusion - 512GB, 6.5"", Blue",999.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.5""",Blue
140,140,1,"XenoPhone Fusion - 512GB, 6.5"", Red",999.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.5""",Red
141,141,1,"XenoPhone Fusion - 512GB, 6.5"", Green",999.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.5""",Green
142,142,1,"XenoPhone Fusion - 512GB, 6.5"", Silver",999.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.5""",Silver
143,143,1,"XenoPhone Fusion - 512GB, 6.5"", Gold",999.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.5""",Gold
144,144,1,"XenoPhone Fusion - 512GB, 6.5"", Purple",999.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.5""",Purple
145,145,1,"XenoPhone Fusion - 512GB, 6.7"", Black",1029.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.7""",Black
146,146,1,"XenoPhone Fusion - 512GB, 6.7"", White",1029.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.7""",White
147,147,1,"XenoPhone Fusion - 512GB, 6.7"", Blue",1029.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.7""",Blue
148,148,1,"XenoPhone Fusion - 512GB, 6.7"", Red",1029.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.7""",Red
149,149,1,"XenoPhone Fusion - 512GB, 6.7"", Green",1029.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.7""",Green
150,150,1,"XenoPhone Fusion - 512GB, 6.7"", Silver",1029.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.7""",Silver
151,151,1,"XenoPhone Fusion - 512GB, 6.7"", Gold",1029.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.7""",Gold
152,152,1,"XenoPhone Fusion - 512GB, 6.7"", Purple",1029.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"6.7""",Purple
153,153,1,"XenoPhone Fusion - 512GB, 7.1"", Black",1059.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"7.1""",Black
154,154,1,"XenoPhone Fusion - 512GB, 7.1"", White",1059.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"7.1""",White
155,155,1,"XenoPhone Fusion - 512GB, 7.1"", Blue",1059.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"7.1""",Blue
156,156,1,"XenoPhone Fusion - 512GB, 7.1"", Red",1059.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"7.1""",Red
157,157,1,"XenoPhone Fusion - 512GB, 7.1"", Green",1059.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"7.1""",Green
158,158,1,"XenoPhone Fusion - 512GB, 7.1"", Silver",1059.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"7.1""",Silver
159,159,1,"XenoPhone Fusion - 512GB, 7.1"", Gold",1059.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"7.1""",Gold
160,160,1,"XenoPhone Fusion - 512GB, 7.1"", Purple",1059.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,512GB,"7.1""",Purple
161,161,1,"XenoPhone Fusion - 1TB, 5.8"", Black",989.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"5.8""",Black
162,162,1,"XenoPhone Fusion - 1TB, 5.8"", White",989.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"5.8""",White
163,163,1,"XenoPhone Fusion - 1TB, 5.8"", Blue",989.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"5.8""",Blue
164,164,1,"XenoPhone Fusion - 1TB, 5.8"", Red",989.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"5.8""",Red
165,165,1,"XenoPhone Fusion - 1TB, 5.8"", Green",989.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"5.8""",Green
166,166,1,"XenoPhone Fusion - 1TB, 5.8"", Silver",989.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"5.8""",Silver
167,167,1,"XenoPhone Fusion - 1TB, 5.8"", Gold",989.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"5.8""",Gold
168,168,1,"XenoPhone Fusion - 1TB, 5.8"", Purple",989.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"5.8""",Purple
169,169,1,"XenoPhone Fusion - 1TB, 6.1"", Black",1019.49,"Perfect for professionals, featuring a stunning display and top-tier security features.",333,2022,1TB,"6.1""",Black
